번호,연도,작품,배역1,배우1,배역2,배우2,OST가수,OST곡,실제매칭가수,실제매칭곡,앨범
123,2019,검법남녀,백범,정재영,은솔,정유미,JK 김동욱,Truth,JK 김동욱,Truth,검법남녀 OST Part.2 - Single
124,2019,검색어를 입력하세요 WWW,배타미,임수정,박모건,장기용,오존,우리 사이 은하수를 만들어,오존,우리 사이 은하수를 만들어,"검색어를 입력하세요 WWW, Pt. 1 (Original Television Soundtrack) - Single"
125,2019,동백꽃 필 무렵,황용식,강하늘,오동백,공효진,펀치,영화 속에 나오는 주인공처럼,펀치,영화 속에 나오는 주인공처럼,"동백꽃 필 무렵 (KBS2 수목드라마) [Original Television Soundtrack], Pt.6 - Single"
126,2019,로맨스는 별책부록,차은호,이종석,강단이,이나영,잔나비,나는 볼 수 없던 이야기,잔나비,나는 볼 수 없던 이야기,"로맨스는 별책부록 (Original Soundtrack), Pt. 1 - Single"
127,2019,멜로가 체질,임진주,천우희,손범수,안재홍,장범준,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,멜로가 체질 (Original Television Soundtrack)
128,2019,배가본드,차달건,이승기,고해리,배수지,하현우,Vagabond,하현우,Vagabond,배가본드 (Original Television Soundtrack)
129,2019,봄밤,유지호,정해인,이정인,한지민,구름,"봄, 밤",김필,봄밤,봄밤 - Single
130,2019,사랑의 불시착,리정혁,현빈,윤세리,손예진,백예린,다시 난 여기,백예린,"다시 난, 여기",사랑의 불시착 (Original Television Soundtrack)
131,2019,아름다운 세상,박무진,박희순,강인하,추자현,신재범 & 민경아,아름다운 세상 (From 알라딘),존박 & 박정현,아름다운 세상 (From 알라딘),아름다운 세상 (From 알라딘) - Single
132,2019,아스달 연대기,타곤,장동건,탄야,김지원,이루리,대제관 니르하시여!,이루리,대제관 니르하시여!,아스달 연대기 (Original Television Soundtrack)
133,2019,열혈사제,김해일,김남길,박경선,이하늬,노라조,우리동네 HERO,노라조,우리동네 HERO,열혈사제 (Original Soundtrack) Part.1 - Single
134,2019,왜그래 풍상씨,이풍상,유준상,간분실,신동미,박새별,너무 아픈 사랑은 사랑이 아니었음을,박새별,너무 아픈 사랑은 사랑이 아니었음을,"왜그래 풍상씨 (Original Television Soundtrack), Pt.4 - Single"
135,2019,퍼퓸,민재희,하재숙,서이도,신성록,바버렛츠,퍼퓸 (Perfume of love),바버렛츠,퍼퓸 (Perfume of love),"퍼퓸 (Original Television Soundtrack), Pt. 6 - Single"
136,2019,호텔 델루나,구찬성,여진구,장만월,아이유,태연,그대라는 시,태연,그대라는 시,호텔 델루나 (Original Soundtrack) Pt. 3 - Single
137,2020,낭만닥터 김사부 2,부용주,한석규,서우진,안효섭,백현,너를 사랑하고 있어,백현,너를 사랑하고 있어,낭만닥터 김사부 2 (Original Television Soundtrack)
138,2020,더 킹 영원의 군주,이곤,이민호,정태을,김고은,Zion.T,I Just Want To Stay With You,Zion.T,I Just Want To Stay With You,더 킹 : 영원의 군주 (Original Television Soundtrack)
139,2020,부부의 세계,지선우,김희애,이태오,박해준,백지영,사랑했던 날들,백지영,사랑했던 날들,"부부의 세계, Pt. 6 (Original Television Soundtrack) - Single"
140,2020,사이코지만 괜찮아,문강태,김수현,고문영,서예지,헤이즈,더 많이 사랑한 쪽이 아프대,헤이즈,더 많이 사랑한 쪽이 아프대,"사이코지만 괜찮아 (Original Television Soundtrack), Pt. 1 - Single"
141,2020,스타트업,남도산,남주혁,서달미,배수지,레드벨벳,미래,레드벨벳,미래,"스타트업 (Original Television Soundtrack), Pt. 1 - Single"
142,2020,슬기로운 의사생활,이익준,조정석,채송화,전미도,조정석,아로하,조정석,아로하,"슬기로운 의사생활, Pt. 3 (Original Television Soundtrack) - Single"
143,2020,쌍갑포차,월주,황정음,한강배,육성재,육성재,사랑은 추억을 닮아서,육성재,사랑은 추억을 닮아서,"쌍갑포차, Pt. 2 (Original Television Soundtrack) - Single"
144,2020,여신강림,이수호,차은우,임주경,문가영,사야,Call Me Maybe,사야,Call Me Maybe,여신강림 (Original Television Soundtrack)
